year,garda_division,total_incidents,division_detection_rate
2023,"Co Dublin, D.M.R. Eastern Division",949,115.91
2023,"Co Kerry, Cork West Division",41,2682.93
2023,"Co Louth, Louth Division",249,441.77
2023,"Co Mayo, Mayo Division",31,3548.39
2023,"Co Tipperary, Tipperary Division",78,1410.26
2023,"Co Waterford, Waterford Division",58,3793.1
2023,"Co. Cork, Cork West Division",77,1428.57
2023,"Co. Kerry, Kerry Division",20,5500.0
2023,"Co. Offaly, Laois/Offaly Division",37,2972.97
2023,"Co. Tipperary, Tipperary Division",12,9166.67
2023,Cork City Division,10837,152.26
2023,Cork North Division,4599,550.12
2023,Cork West Division,2018,1635.28
2023,D.M.R. Eastern Division,5907,74.49
2023,D.M.R. North Central Division,21313,20.64
2023,D.M.R. Northern Division,15778,90.63
2023,D.M.R. South Central Division,16991,32.37
2023,D.M.R. Southern Division,10877,60.68
2023,D.M.R. Western Division,17295,50.88
2023,Donegal Division,4413,897.35
2023,Galway Division,8144,621.32
2023,Kerry Division,4845,544.89
2023,Kildare Division,7956,207.39
2023,Kilkenny/Carlow Division,4453,617.56
2023,Laois/Offaly Division,5618,469.92
2023,Limerick Division,9953,320.51
2023,Louth Division,5905,223.54
2023,Mayo Division,2585,1191.49
2023,Meath Division,5679,309.91
2023,Roscommon/Longford Division,2871,842.91
2023,Sligo/Leitrim Division,2664,743.24
2023,Tipperary Division,5250,733.33
2023,Waterford Division,6076,307.77
2023,Westmeath Division,4287,333.57
2023,Wexford Division,4689,516.1
2023,Wicklow Division,3969,471.15
