offence,year,total_incidents
"Robbery, extortion and hijacking offences (06)",2022,2071
"Robbery, extortion and hijacking offences (06)",2023,2615
"Robbery, extortion and hijacking offences (06)",2024,2370
Theft and related offences (08),2003,73426
Theft and related offences (08),2004,72193
Theft and related offences (08),2005,73046
Theft and related offences (08),2006,74519
Theft and related offences (08),2007,75130
Theft and related offences (08),2008,76815
Theft and related offences (08),2009,76916
Theft and related offences (08),2010,76655
Theft and related offences (08),2011,76665
Theft and related offences (08),2012,76135
Theft and related offences (08),2013,78461
Theft and related offences (08),2014,77687
Theft and related offences (08),2015,75750
Theft and related offences (08),2016,64503
Theft and related offences (08),2017,69284
Theft and related offences (08),2018,66963
Theft and related offences (08),2019,68204
Theft and related offences (08),2020,51498
Theft and related offences (08),2021,46807
Theft and related offences (08),2022,65907
Theft and related offences (08),2023,73776
Theft and related offences (08),2024,75928
Weapons and explosives offences (11),2003,1914
Weapons and explosives offences (11),2004,2155
Weapons and explosives offences (11),2005,2553
Weapons and explosives offences (11),2006,3123
Weapons and explosives offences (11),2007,3598
Weapons and explosives offences (11),2008,4028
Weapons and explosives offences (11),2009,4092
Weapons and explosives offences (11),2010,4116
Weapons and explosives offences (11),2011,3484
Weapons and explosives offences (11),2012,3042
Weapons and explosives offences (11),2013,2737
Weapons and explosives offences (11),2014,2473
Weapons and explosives offences (11),2015,2375
Weapons and explosives offences (11),2016,2134
Weapons and explosives offences (11),2017,2379
Weapons and explosives offences (11),2018,2441
Weapons and explosives offences (11),2019,2689
Weapons and explosives offences (11),2020,3093
Weapons and explosives offences (11),2021,2530
Weapons and explosives offences (11),2022,2625
Weapons and explosives offences (11),2023,2771
Weapons and explosives offences (11),2024,2935
